Unnamed: 0,model_name,dataset,date,Training_version,environment,developer_mode,wer,cer,results_path,notes,checkpoint-path,Training,commit_hash,dataset_evaluation_part,wer_per_mic_type,wer_per_session,wer_per_special_token,wer_per_mic,oversampling,training_time,data_portion in training,beamforming,num_trainable_parameters,diffusion,inference_time,precision
31.0,distil-whisper/distil-large-v3,dipco,12/10/2024,vanilla,cluster,N,0.3398331181086719,0.9077282215057656,distil-whisper/distil-large-v3_dipco_vanilla/results.json,early normalization test on all the data,,T,5209f9127c74ee7369b0c97534c553114e90959e,eval,"{'P': 0.21684712426740838, 'U': 0.4628191119499354}",{'03': 0.42182378066951426},"{""('No token',)"": 0.40504872041974516, ""('[laugh]',)"": 0.5071373456790124, ""('[noise]',)"": 0.2893401015228426, ""('[unintelligible]',)"": 0.4422661870503597}","{'p09': 0.18311327310632383, 'p10': 0.24888366627497063, 'p11': 0.20602409638554217, 'p12': 0.2001569858712716, 'u01': 0.4600178802026423, 'u02': 0.45624317075593523, 'u03': 0.4523691268501043, 'u04': 0.46587861329095065, 'u05': 0.4795867686500447}",1.0,1598.250457443297,all,,,,,
32.0,distil-whisper/distil-large-v3,dipco,12/11/2024,vanilla,cluster,N,0.3625906426939506,0.9077282215057656,distil-whisper/distil-large-v3_dipco_vanilla/results.json,better generate microphoens pahts method also on previous run,,T,5209f9127c74ee7369b0c97534c553114e90959e,eval,"{'P': 0.1925101817820602, 'U': 0.5326711036058409}",{'03': 0.47597761663521077},"{""('No token',)"": 0.48246600278402396, ""('[laugh]',)"": 0.47665895061728397, ""('[noise]',)"": 0.31725888324873097, ""('[unintelligible]',)"": 0.4724820143884892}","{'p09': 0.165045170257123, 'p10': 0.23431257344300824, 'p11': 0.1572289156626506, 'p12': 0.1609105180533752, 'u01': 0.5347173934637925, 'u02': 0.5332273765769345, 'u03': 0.5300486738849707, 'u04': 0.5213072414820701, 'u05': 0.5440548326214364}",1.0,591.591382175684,clean-only,,,,,
33.0,distil-whisper/distil-large-v3,dipco,12/11/2024,vanilla,cluster,N,0.3385715704777987,0.9077282215057656,distil-whisper/distil-large-v3_dipco_vanilla/results.json,better generate microphoens pahts method also on previous run,,T,5209f9127c74ee7369b0c97534c553114e90959e,eval,"{'P': 0.22250918843746895, 'U': 0.45463395251812855}",{'03': 0.41594649183801863},"{""('No token',)"": 0.39359139094121426, ""('[laugh]',)"": 0.5239197530864198, ""('[noise]',)"": 0.2817258883248731, ""('[unintelligible]',)"": 0.4419664268585132}","{'p09': 0.18693537178596248, 'p10': 0.24794359576968272, 'p11': 0.21204819277108433, 'p12': 0.2315541601255887, 'u01': 0.4478990761895301, 'u02': 0.4516737856362372, 'u03': 0.4480977451077779, 'u04': 0.46021654912089005, 'u05': 0.4652826065362074}",1.0,1302.4654795527458,far-only,,,,,
34.0,distil-whisper/distil-large-v3,dipco,12/15/2024,vanilla,cluster,N,0.4100327803715108,0.9077282215057656,distil-whisper/distil-large-v3_dipco_vanilla/results.json,better generate microphoens pahts method also on previous run,,NT,1456dd0965eb8f15ce0e7414bd3b760ac6098fa3,eval,"{'P': 0.26591834707460016, 'U': 0.5541472136684216}",{'03': 0.506109069236118},"{""('No token',)"": 0.5148570510761323, ""('[laugh]',)"": 0.625, ""('[noise]',)"": 0.32656514382402707, ""('[unintelligible]',)"": 0.4622901678657074}","{'p09': 0.24426685198054204, 'p10': 0.2580493537015276, 'p11': 0.2385542168674699, 'p12': 0.37676609105180536, 'u01': 0.5554782954206814, 'u02': 0.5563723055527963, 'u03': 0.5437568292440648, 'u04': 0.5406774610112248, 'u05': 0.5744511771133406}",1.0,0.0,far-only,,,,,
35.0,distil-whisper/distil-large-v3,dipco,12/15/2024,vanilla,cluster,N,0.4100327803715108,0.9077282215057656,distil-whisper/distil-large-v3_dipco_vanilla/results.json,better generate microphoens pahts method also on previous run,,NT,1456dd0965eb8f15ce0e7414bd3b760ac6098fa3,eval,"{'P': 0.26591834707460016, 'U': 0.5541472136684216}",{'03': 0.506109069236118},"{""('No token',)"": 0.5148570510761323, ""('[laugh]',)"": 0.625, ""('[noise]',)"": 0.32656514382402707, ""('[unintelligible]',)"": 0.4622901678657074}","{'p09': 0.24426685198054204, 'p10': 0.2580493537015276, 'p11': 0.2385542168674699, 'p12': 0.37676609105180536, 'u01': 0.5554782954206814, 'u02': 0.5563723055527963, 'u03': 0.5437568292440648, 'u04': 0.5406774610112248, 'u05': 0.5744511771133406}",1.0,0.0,far-only,,,,,
36.0,distil-whisper/distil-large-v3,dipco,12/17/2024,vanilla,cluster,N,0.4083440945664051,0.9077282215057656,distil-whisper/distil-large-v3_dipco_vanilla/results.json,first-beamforming,,NT,029cd831782a3b9d1ccc22a5cee0db5ea085425a,eval,"{'P': 0.26591834707460016, 'U': 0.55076984205821}",{'03': 0.503294592894275},"{""('No token',)"": 0.5104400899453903, ""('[laugh]',)"": 0.6296296296296297, ""('[noise]',)"": 0.30710659898477155, ""('[unintelligible]',)"": 0.4619304556354916}","{'p09': 0.24426685198054204, 'p10': 0.2580493537015276, 'p11': 0.2385542168674699, 'p12': 0.37676609105180536, 'u01': 0.5561736366345486, 'u02': 0.5477302076090196, 'u03': 0.5446508393761796, 'u04': 0.5429621535710738, 'u05': 0.5623323731002284}",1.0,0.0,far-only,Y,,,,
37.0,distil-whisper/distil-large-v3,dipco,12/19/2024,vanilla,cluster,N,0.4098341114532631,0.9077282215057656,distil-whisper/distil-large-v3_dipco_vanilla/results.json,first-beamforming,,NT,029cd831782a3b9d1ccc22a5cee0db5ea085425a,eval,"{'P': 0.26591834707460016, 'U': 0.5537498758319261}",{'03': 0.5057779543723718},"{""('No token',)"": 0.5134918085448121, ""('[laugh]',)"": 0.6294367283950617, ""('[noise]',)"": 0.3130287648054145, ""('[unintelligible]',)"": 0.46372901678657075}","{'p09': 0.24426685198054204, 'p10': 0.2580493537015276, 'p11': 0.2385542168674699, 'p12': 0.37676609105180536, 'u01': 0.5578623224396543, 'u02': 0.5471342008542763, 'u03': 0.5437568292440648, 'u04': 0.5472335353134002, 'u05': 0.5727624913082349}",1.0,0.0,far-only,Y,,,,
,openai/whisper-tiny.en,dipco,12/20/2024,vanilla,laptop,Y,0.8226575342465754,3.7209140489744574,openai/whisper-tiny.en_dipco_vanilla/results.json,correction wer,,T,6689554402bdc70ca49376147d16c42d9f079c2f,eval,"{'P': 0.296, 'U': 1.3493150684931507}",{'08': 1.1154529307282415},"{""('No token',)"": 0.8014981273408239, ""('[noise]',)"": 0.6386554621848739, ""('[unintelligible]',)"": 4.517241379310345}","{'p25': 0.2962962962962963, 'p26': 0.21052631578947367, 'p27': 0.19047619047619047, 'p28': 0.41935483870967744, 'u01': 0.8539325842696629, 'u02': 1.0198019801980198, 'u03': 0.9615384615384616, 'u04': 3.3461538461538463, 'u05': 0.8260869565217391}",1.0,149.21186689100068,all,,,,,
,distil-whisper/distil-large-v3,dipco,01/17/2025,vanilla,cluster,N,0.4108671898281514,0.9077282215057656,distil-whisper/distil-large-v3_dipco_vanilla/results.json,first-beamforming,,NT,54ac8273281d5384e3154d60f30a5cbeb93fbb05,eval,"{'P': 0.26790503625707757, 'U': 0.5538293433992252}",{'03': 0.5061752922088673},"{""('No token',)"": 0.5128493414712496, ""('[laugh]',)"": 0.6454475308641975, ""('[noise]',)"": 0.3197969543147208, ""('[unintelligible]',)"": 0.4611510791366906}","{'p09': 0.24357192494788046, 'p10': 0.25898942420681553, 'p11': 0.24457831325301205, 'p12': 0.38304552590266877, 'u01': 0.5558756332571769, 'u02': 0.5470348663951525, 'u03': 0.547332869772524, 'u04': 0.5496175623323731, 'u05': 0.5692857852388994}",1.0,0.0,far-only,N,,,,
,distil-whisper/distil-large-v3,dipco,01/24/2025,peft,cluster,N,0.3855269693056521,0.9077282215057656,distil-whisper/distil-large-v3_dipco_vanilla/results.json,first-beamforming,,T,54ac8273281d5384e3154d60f30a5cbeb93fbb05,eval,"{'P': 0.27267309029502335, 'U': 0.49838084831628093}",{'03': 0.46076288864607134},"{""('No token',)"": 0.4448816789806189, ""('[laugh]',)"": 0.5852623456790124, ""('[noise]',)"": 0.3079526226734349, ""('[unintelligible]',)"": 0.4684652278177458}","{'p09': 0.22272411396803335, 'p10': 0.2928319623971798, 'p11': 0.25783132530120484, 'p12': 0.33751962323390894, 'u01': 0.4998509983113142, 'u02': 0.49567895102811166, 'u03': 0.4921029104996523, 'u04': 0.49001688685805106, 'u05': 0.5142544948842753}",1.0,33059.03931056708,far-only,N,,,,
